year,make,model,class,enginesize,fuelusecity,fuelusehwy,fueluseboth,mpgboth,co2emissions,cylinders468,cylinder4,cylinder6,cylinder8,trans2,fuel
2015,AUDI,S8,MID-SIZE,4,14.1999998092651,8.80000019073486,11.8000001907349,24,271,8,0,0,1,1,2
2015,AUDI,SQ5,SUV - SMALL,3,14.1000003814697,9.89999961853027,12.1999998092651,23,281,6,0,1,0,1,2
2015,AUDI,TT COUPE QUATTRO,SUBCOMPACT,2,10.3999996185303,7.59999990463257,9.10000038146973,31,209,4,1,0,0,1,2
2015,AUDI,TT ROADSTER QUATTRO,TWO-SEATER,2,10.3999996185303,7.69999980926514,9.19999980926514,31,212,4,1,0,0,1,2
2015,AUDI,TTS COUPE QUATTRO,SUBCOMPACT,2,11.6999998092651,8.39999961853027,10.1999998092651,28,235,4,1,0,0,1,2
2015,AUDI,TTS ROADSTER QUATTRO,TWO-SEATER,2,11.6999998092651,8.5,10.1999998092651,28,235,4,1,0,0,1,2
2015,BENTLEY,CONTINENTAL GT,COMPACT,4,15.5,9.30000019073486,12.6999998092651,22,292,8,0,0,1,1,2
2015,BENTLEY,CONTINENTAL GT CONVERTIBLE,SUBCOMPACT,4,17,9.89999961853027,13.8000001907349,20,317,8,0,0,1,1,2
2015,BENTLEY,CONTINENTAL GT3-R,TWO-SEATER,4,17.6000003814697,10.1000003814697,14.1999998092651,20,327,8,0,0,1,1,2
2015,BENTLEY,FLYING SPUR,MID-SIZE,4,17,9.89999961853027,13.8000001907349,20,317,8,0,0,1,1,2
2015,BENTLEY,MULSANNE,MID-SIZE,6.80000019073486,22.2999992370605,13.3000001907349,18.2000007629395,16,419,8,0,0,1,1,2
2015,BMW,228i CABRIOLET,SUBCOMPACT,2,10.3999996185303,7.09999990463257,8.89999961853027,32,205,4,1,0,0,1,2
2015,BMW,228i COUPE,SUBCOMPACT,2,10,6.5,8.39999961853027,34,193,4,1,0,0,1,2
2015,BMW,228i COUPE,SUBCOMPACT,2,10.6999998092651,6.90000009536743,9,31,207,4,1,0,0,2,2
2015,BMW,228i xDRIVE CABRIOLET,SUBCOMPACT,2,10.6000003814697,7.19999980926514,9.10000038146973,31,209,4,1,0,0,1,2
2015,BMW,228i xDRIVE COUPE,SUBCOMPACT,2,10.3000001907349,6.69999980926514,8.69999980926514,32,200,4,1,0,0,1,2
2015,BMW,320i SEDAN,COMPACT,2,10,6.5,8.39999961853027,34,193,4,1,0,0,1,2
2015,BMW,320i SEDAN,COMPACT,2,10.6999998092651,6.90000009536743,9,31,207,4,1,0,0,2,2
2015,BMW,320i xDRIVE SEDAN,COMPACT,2,10.3000001907349,6.69999980926514,8.69999980926514,32,200,4,1,0,0,1,2
2015,BMW,328d xDRIVE SEDAN,COMPACT,2,7.59999990463257,5.5,6.69999980926514,42,181,4,1,0,0,1,3
